name of the place,category,latitude,longitude,description,timings,Place,Category,Timings,tags,rating
Sri Venkateswara Tiffin Center,Food Place,13.6288,79.4192,Popular breakfast spot. A beloved dining destination offering a wide variety of fresh and delicious meals. The serene atmosphere and prompt service ensure a delightful experience. Perfect for family dinners or a relaxing meal after a long day of sightseeing.,06:00-11:00 | 12:00-15:00 | 18:00-23:00,general tirupati tourism,4.0,,,
Mayura Restaurant,Food Place,13.6315,79.4195,Vegetarian meals served. A beloved dining destination offering a wide variety of fresh and delicious meals. The serene atmosphere and prompt service ensure a delightful experience. Perfect for family dinners or a relaxing meal after a long day of sightseeing.,12:00-15:00 | 18:00-23:00,general tirupati tourism,4.0,,,
Minerva Coffee Shop,Food Place,13.632,79.42,"Coffee snacks hub. Experience authentic local flavors with a perfect blend of spices. This establishment is known for its hygienic preparation and warm hospitality, making it a favorite among both locals and tourists. The ambiance perfectly complements the traditional dining experience.",07:00-10:30 | 12:00-15:00 | 18:00-22:00,general tirupati tourism,4.0,,,
Hotel Bliss Restaurant,Food Place,13.6312,79.4178,Multi cuisine dining. A beloved dining destination offering a wide variety of fresh and delicious meals. The serene atmosphere and prompt service ensure a delightful experience. Perfect for family dinners or a relaxing meal after a long day of sightseeing.,12:00-14:30 | 18:00-22:00,general tirupati tourism,4.0,,,
Saravana Bhavan,Food Place,13.6305,79.4189,South indian meals. A beloved dining destination offering a wide variety of fresh and delicious meals. The serene atmosphere and prompt service ensure a delightful experience. Perfect for family dinners or a relaxing meal after a long day of sightseeing.,07:00-11:00 | 12:00-15:00 | 18:00-23:00,general tirupati tourism,4.0,,,
Bhimas Deluxe,Food Place,13.6331,79.4212,Family dining place. A beloved dining destination offering a wide variety of fresh and delicious meals. The serene atmosphere and prompt service ensure a delightful experience. Perfect for family dinners or a relaxing meal after a long day of sightseeing.,12:00-15:00 | 18:00-23:00,general tirupati tourism,4.0,,,
Woodside Restaurant,Food Place,13.6299,79.4167,"Premium veg restaurant. Experience authentic local flavors with a perfect blend of spices. This establishment is known for its hygienic preparation and warm hospitality, making it a favorite among both locals and tourists. The ambiance perfectly complements the traditional dining experience.",12:00-15:00 | 18:00-23:00,general tirupati tourism,4.0,,,
Sri Lakshmi Narayana Bhavan,Food Place,13.628,79.419,"Traditional breakfast items. Experience authentic local flavors with a perfect blend of spices. This establishment is known for its hygienic preparation and warm hospitality, making it a favorite among both locals and tourists. The ambiance perfectly complements the traditional dining experience.",07:00-10:00 | 12:00-15:00 | 18:00-23:00,general tirupati tourism,4.0,,,
Hotel PLR Grand Restaurant,Food Place,13.6317,79.4182,"Buffet style dining. Experience authentic local flavors with a perfect blend of spices. This establishment is known for its hygienic preparation and warm hospitality, making it a favorite among both locals and tourists. The ambiance perfectly complements the traditional dining experience.",12:00-15:00 | 18:00-23:00,general tirupati tourism,4.0,,,
Udayee International Restaurant,Food Place,13.6322,79.4208,"Multi cuisine buffet. Savor mouth-watering delicacies prepared by expert chefs using generations-old recipes. Whether you are looking for a quick bite or a lavish meal, this place offers an unforgettable culinary journey. Highly recommended for food lovers visiting Tirupati.",12:00-14:30 | 18:00-22:00,general tirupati tourism,4.0,,,
Ramee Guestline Restaurant,Food Place,13.6295,79.4175,"Luxury dining experience. Experience authentic local flavors with a perfect blend of spices. This establishment is known for its hygienic preparation and warm hospitality, making it a favorite among both locals and tourists. The ambiance perfectly complements the traditional dining experience.",12:00-15:00 | 18:00-23:00,general tirupati tourism,4.0,,,
Andhra Spice Restaurant,Food Place,13.6309,79.4198,"Spicy andhra meals. Savor mouth-watering delicacies prepared by expert chefs using generations-old recipes. Whether you are looking for a quick bite or a lavish meal, this place offers an unforgettable culinary journey. Highly recommended for food lovers visiting Tirupati.",12:00-14:30 | 18:00-22:00,general tirupati tourism,4.0,,,
Tirupati Food Plaza,Food Place,13.6298,79.4203,"Quick service meals. Savor mouth-watering delicacies prepared by expert chefs using generations-old recipes. Whether you are looking for a quick bite or a lavish meal, this place offers an unforgettable culinary journey. Highly recommended for food lovers visiting Tirupati.",07:00-22:00,general tirupati tourism,4.0,,,
